Steps,Manhattan Distance
1,8
2,8
3,8
4,12
5,10
6,8
7,12
8,10
9,8
10,14
11,12
12,10
13,14
14,12
15,10
16,14
17,12
18,10
19,14
20,12
21,10
22,10
23,14
24,12
25,10
26,10
27,14
28,12
29,10
30,14
31,12
32,10
33,14
34,12
35,10
36,10
37,16
38,14
39,12
40,10
41,12
42,10
43,12
44,10
45,14
46,12
47,10
48,12
49,10
50,14
51,12
52,14
53,14
54,12
55,12
56,10
57,12
58,12
59,12
60,10
61,12
62,10
63,12
64,16
65,14
66,12
67,10
68,10
69,12
70,10
71,10
72,8
73,6
74,10
75,8
76,6
77,4
78,4
79,6
80,4
81,6
82,4
83,8
84,6
85,4
86,8
87,6
88,4
89,4
90,8
91,6
92,4
93,4
94,6
95,4
96,4
97,4
98,6
99,4
100,4
101,6
102,4
103,6
104,4
105,4
106,6
107,10
108,8
109,6
110,4
111,4
112,4
113,6
114,4
115,4
116,4
117,4
118,6
119,6
120,10
121,8
122,6
123,4
124,6
125,4
126,6
127,4
128,6
129,6
130,4
131,8
132,6
133,4
134,8
135,6
136,4
137,6
138,4
139,6
140,4
141,6
142,4
143,6
144,4
145,6
146,6
147,4
148,6
149,4
150,4
151,6
152,4
153,4
154,4
155,4
156,4
157,6
158,10
159,8
160,6
161,4
162,4
163,6
164,6
165,4
166,4
167,6
168,4
169,6
170,4
171,4
172,4
173,6
174,4
175,6
176,4
177,4
178,4
179,6
180,4
181,6
182,4
183,8
184,6
185,4
186,8
187,6
188,4
189,4
190,6
191,4
192,8
193,6
194,4
195,8
196,6
197,4
198,6
199,4
200,4
201,6
202,4
203,4
204,6
205,4
206,4
207,4
208,6
209,4
210,6
211,4
212,6
213,4
214,4
215,6
216,4
217,4
218,6
219,4
220,6
221,4
222,4
223,4
224,8
225,6
226,4
227,6
228,6
229,8
230,6
231,6
232,8
233,6
234,8
235,6
236,4
237,8
238,6
239,4
240,6
241,4
242,6
243,4
244,8
245,6
246,4
247,4
248,6
249,4
250,8
251,6
252,8
253,6
254,6
255,6
256,8
257,6
258,8
259,6
260,10
261,8
262,6
263,8
264,6
265,10
266,8
267,6
268,10
269,8
270,6
271,8
272,6
273,10
274,8
275,6
276,8
277,6
278,8
279,6
280,10
281,8
282,6
283,8
284,6
285,8
286,6
287,10
288,8
289,6
290,10
291,8
292,6
293,8
294,6
295,8
296,6
297,10
298,10
299,12
300,10
301,14
302,12
303,10
304,10
305,12
306,14
307,12
308,14
309,12
310,16
311,14
312,14
313,12
314,12
315,14
316,14
317,12
318,18
319,16
320,14
321,16
322,14
323,12
324,12
325,10
326,16
327,14
328,12
329,10
330,16
331,14
332,14
333,12
334,16
335,14
336,16
337,14
338,20
339,20
340,14
341,18
342,16
343,14
344,14
345,12
346,12
347,16
348,14
349,14
350,14
351,14
352,14
353,14
354,14
355,14
356,12
357,18
358,18
359,16
360,14
361,12
362,10
363,8
364,10
365,14
366,12
367,10
368,8
369,8
370,6
371,4
372,4
373,4
374,6
375,8
376,8
377,12
378,10
379,8
380,6
381,8
382,6
383,12
384,10
385,8
386,6
387,8
388,6
389,8
390,6
391,8
392,6
393,12
394,10
395,8
396,6
397,12
398,12
399,12
400,10
401,8
402,14
403,12
404,10
405,8
406,10
407,8
408,8
409,8
410,10
411,12
412,10
413,8
414,12
415,12
416,10
417,14
418,12
419,12
420,10
421,14
422,14
423,14
424,12
425,14
426,14
427,14
428,12
429,10
430,14
431,12
432,16
433,14
434,20
435,18
436,18
437,16
438,14
439,12
440,18
441,16
442,14
443,12
444,14
445,12
446,16
447,14
448,12
449,16
450,14
451,18
452,16
453,14
454,16
455,14
456,12
457,14
458,14
459,12
460,16
461,14
462,12
463,14
464,12
465,14
466,12
467,14
468,14
469,12
470,10
471,14
472,12
473,10
474,12
475,10
476,10
477,12
478,10
479,16
480,12
481,12
482,10
483,12
484,10
485,12
486,10
487,8
488,12
489,6
490,4
491,4
492,6
493,4
494,8
495,6
496,4
497,4
498,4
499,6
500,4
501,4
502,6
503,4
504,4
505,4
506,4
507,4
508,4
509,8
510,6
511,4
512,6
513,4
514,4
515,6
516,4
517,4
518,8
519,6
520,6
521,6
522,10
523,8
524,6
525,6
526,4
527,6
528,4
529,6
530,4
531,6
532,4
533,8
534,6
535,4
536,8
537,6
538,4
539,8
540,6
541,6
542,10
543,8
544,6
545,6
546,4
547,2
548,0
